                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2374,                 1.1051,                 1.1169,                0.55032,                0.43251,                0.47009,                0.27464,                  1.189,                0.90473,                 1.1441,             0.00027755,             0.00027755,             0.00027755
                      2,                 1.2164,                0.92652,                 1.1197,                 0.6788,                0.45585,                0.52217,                0.31052,                 1.1781,                0.84341,                 1.1309,             0.00050025,             0.00050025,             0.00050025
                      3,                  1.179,                0.86611,                 1.1059,                0.54425,                0.51891,                0.57714,                0.34542,                 1.1073,                0.77532,                 1.1047,             0.00066798,             0.00066798,             0.00066798
                      4,                  1.114,                0.77981,                 1.0716,                0.73365,                0.57835,                0.66088,                0.41684,                 1.0545,                0.70641,                 1.0732,              0.0005856,              0.0005856,              0.0005856
                      5,                 1.0612,                0.72006,                 1.0454,                 0.7227,                0.62876,                0.70314,                0.45034,                0.99578,                0.66005,                 1.0534,             0.00050313,             0.00050313,             0.00050313
                      6,                 1.0118,                0.66132,                 1.0247,                0.73925,                0.62028,                 0.6991,                0.46276,                 0.9954,                0.61791,                 1.0354,             0.00042066,             0.00042066,             0.00042066
                      7,                0.96627,                0.61344,                 1.0056,                 0.7592,                0.69033,                0.75771,                0.50043,                0.95622,                0.58269,                 1.0252,              0.0003382,              0.0003382,              0.0003382
                      8,                0.93102,                0.56953,                0.99046,                0.84753,                0.71018,                0.80431,                0.55309,                0.90573,                0.55293,                0.99849,             0.00025573,             0.00025573,             0.00025573
                      9,                0.88708,                0.53189,                0.97035,                0.84319,                0.73266,                0.82614,                0.58384,                 0.8862,                0.53122,                0.99442,             0.00017326,             0.00017326,             0.00017326
                     10,                0.84417,                0.49426,                0.95215,                0.83417,                 0.7486,                0.82676,                0.59385,                0.85953,                0.51141,                0.98033,             9.0797e-05,             9.0797e-05,             9.0797e-05
