                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.404,                 1.9013,                 1.1097,                0.40166,                0.36749,                0.37531,                0.21947,                 1.2708,                 1.0696,                 1.0742,             0.00027707,             0.00027707,             0.00027707
                      2,                  1.271,                 1.2219,                 1.0692,                0.47443,                0.47743,                 0.4598,                 0.2671,                 1.1954,                0.93944,                 1.0562,             0.00049981,             0.00049981,             0.00049981
                      3,                  1.216,                 1.0262,                 1.0529,                0.52656,                0.49914,                0.48602,                0.28861,                 1.1961,                0.91179,                 1.0582,             0.00066759,             0.00066759,             0.00066759
                      4,                 1.1654,                0.91134,                 1.0374,                0.68936,                 0.5333,                0.60044,                 0.3564,                 1.1545,                0.81601,                 1.0503,              0.0005856,              0.0005856,              0.0005856
                      5,                 1.1236,                0.83414,                 1.0181,                 0.6965,                0.55718,                0.63431,                0.39054,                  1.127,                0.78046,                 1.0393,             0.00050313,             0.00050313,             0.00050313
                      6,                 1.0772,                0.77398,                0.99601,                0.67546,                0.63122,                0.67056,                0.42779,                 1.0894,                 0.7267,                 1.0192,             0.00042066,             0.00042066,             0.00042066
                      7,                 1.0445,                0.72671,                0.98572,                0.80463,                0.58679,                0.70829,                0.45244,                  1.081,                0.70742,                 1.0203,              0.0003382,              0.0003382,              0.0003382
                      8,                 1.0093,                0.69414,                0.97443,                0.78563,                0.64135,                0.72891,                0.47272,                 1.0225,                0.67725,                0.99475,             0.00025573,             0.00025573,             0.00025573
                      9,                0.98351,                0.66104,                0.96288,                0.77337,                0.67261,                0.75228,                0.49169,                 1.0387,                0.67445,                0.99921,             0.00017326,             0.00017326,             0.00017326
                     10,                0.95162,                0.63187,                0.95091,                0.80567,                0.65991,                0.76414,                 0.5188,                0.99473,                0.63761,                0.98844,             9.0797e-05,             9.0797e-05,             9.0797e-05
