                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4505,                 1.9463,                 1.1412,                0.50954,                0.31136,                 0.3232,                0.19886,                 1.2323,                 1.0971,                 1.0685,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.3205,                 1.3152,                 1.0976,                0.54185,                0.38057,                0.40577,                0.23295,                 1.2225,                 1.0523,                 1.0774,              0.0065935,              0.0065935,              0.0065935
                      3,                 1.3374,                 1.2472,                   1.11,                 0.5192,                0.42246,                0.44886,                0.25919,                 1.2207,                 1.0061,                 1.1005,              0.0097949,              0.0097949,              0.0097949
                      4,                 1.3231,                 1.1628,                 1.1074,                0.57835,                0.51777,                0.52253,                 0.3072,                 1.1708,                0.88339,                 1.0671,               0.009703,               0.009703,               0.009703
                      5,                 1.2702,                 1.0591,                 1.0909,                0.57273,                0.54027,                0.56013,                0.32696,                 1.1537,                 0.8643,                 1.0738,               0.009604,               0.009604,               0.009604
                      6,                 1.2302,                0.97885,                 1.0741,                 0.5662,                0.55375,                 0.5648,                0.33715,                 1.1196,                0.83626,                 1.0524,               0.009505,               0.009505,               0.009505
                      7,                 1.2002,                0.92746,                 1.0632,                0.73318,                0.54081,                0.63987,                0.38606,                 1.0718,                0.75783,                 1.0271,               0.009406,               0.009406,               0.009406
                      8,                 1.1779,                0.88927,                 1.0552,                0.68308,                0.59963,                0.64687,                0.39569,                 1.0517,                0.75119,                 1.0259,               0.009307,               0.009307,               0.009307
                      9,                 1.1573,                0.86696,                  1.049,                0.78705,                0.57369,                0.68366,                0.42703,                 1.0405,                0.71856,                 1.0208,               0.009208,               0.009208,               0.009208
                     10,                 1.1471,                0.84059,                 1.0422,                 0.7256,                0.61368,                0.67962,                0.43006,                 1.0224,                0.69673,                 1.0101,               0.009109,               0.009109,               0.009109
                     11,                 1.1284,                0.81679,                 1.0355,                0.71291,                 0.6305,                0.68793,                0.43821,                 1.0031,                0.68649,                  1.003,                0.00901,                0.00901,                0.00901
                     12,                 1.1191,                0.80589,                 1.0323,                0.72836,                 0.6455,                0.71006,                0.45701,                0.98246,                 0.6621,                0.99453,               0.008911,               0.008911,               0.008911
                     13,                 1.0993,                0.79218,                 1.0225,                0.75896,                0.64537,                 0.7241,                 0.4725,                 0.9672,                0.65118,                0.98731,               0.008812,               0.008812,               0.008812
                     14,                 1.0897,                0.77177,                 1.0215,                0.83753,                 0.6426,                 0.7485,                0.48869,                0.96541,                 0.6386,                0.99025,               0.008713,               0.008713,               0.008713
                     15,                 1.0858,                 0.7694,                 1.0184,                0.81723,                0.66018,                0.75926,                0.49303,                0.95946,                   0.63,                0.98816,               0.008614,               0.008614,               0.008614
                     16,                 1.0699,                0.74934,                 1.0127,                0.83462,                0.69167,                0.78465,                0.50893,                0.94593,                0.61672,                0.98376,               0.008515,               0.008515,               0.008515
                     17,                  1.067,                0.74438,                 1.0097,                0.83265,                0.66743,                0.77306,                0.50402,                0.94223,                0.61693,                0.98341,               0.008416,               0.008416,               0.008416
                     18,                 1.0509,                0.73148,                 1.0069,                0.80442,                0.72618,                0.78233,                0.50448,                0.93359,                0.59888,                0.97366,               0.008317,               0.008317,               0.008317
                     19,                 1.0464,                0.72255,                 1.0035,                0.80494,                0.66414,                0.78043,                0.51502,                0.93196,                0.59906,                 0.9753,               0.008218,               0.008218,               0.008218
                     20,                 1.0337,                0.70936,                0.99786,                0.79556,                0.71395,                0.79142,                 0.5241,                0.92284,                0.58734,                0.97379,               0.008119,               0.008119,               0.008119
                     21,                 1.0299,                0.70879,                0.99691,                0.84419,                0.70451,                 0.8033,                 0.5286,                0.90521,                0.58568,                0.96399,                0.00802,                0.00802,                0.00802
                     22,                 1.0217,                0.70502,                0.99702,                 0.8094,                0.75199,                0.81937,                0.54676,                0.89324,                0.56138,                0.95985,               0.007921,               0.007921,               0.007921
                     23,                 1.0136,                0.69024,                0.99334,                0.85547,                0.68451,                0.80874,                0.54916,                0.88451,                0.56238,                0.95891,               0.007822,               0.007822,               0.007822
                     24,                 1.0075,                0.68524,                0.99071,                0.85214,                0.73842,                0.82961,                0.56355,                0.87762,                0.54842,                0.95532,               0.007723,               0.007723,               0.007723
                     25,                  1.004,                0.67922,                0.98583,                0.85128,                0.72831,                0.82138,                0.56273,                0.86954,                0.54364,                0.95117,               0.007624,               0.007624,               0.007624
                     26,                 1.0015,                0.67675,                0.98586,                0.82225,                0.75217,                0.83427,                0.57051,                0.87096,                0.53871,                0.95227,               0.007525,               0.007525,               0.007525
                     27,                0.99256,                0.66977,                0.98204,                0.81445,                 0.7702,                0.84279,                0.57849,                0.85116,                0.53644,                0.94574,               0.007426,               0.007426,               0.007426
                     28,                0.99201,                0.66945,                0.98367,                 0.8603,                0.76473,                0.84636,                0.57602,                0.85079,                0.53499,                0.94399,               0.007327,               0.007327,               0.007327
                     29,                0.97735,                0.65765,                0.97723,                0.86883,                0.75498,                0.85408,                  0.587,                0.84169,                0.52482,                0.94075,               0.007228,               0.007228,               0.007228
                     30,                0.97261,                0.65235,                0.97408,                0.82995,                0.77547,                0.84362,                0.58312,                0.84681,                 0.5272,                0.94174,               0.007129,               0.007129,               0.007129
                     31,                0.96866,                0.64729,                0.97415,                0.85855,                0.76916,                0.84778,                0.59284,                0.83692,                0.52171,                0.93838,                0.00703,                0.00703,                0.00703
                     32,                0.96301,                0.64265,                0.97241,                0.88694,                0.75016,                0.85861,                0.59547,                0.83092,                0.51467,                0.93686,               0.006931,               0.006931,               0.006931
                     33,                0.96124,                0.64151,                0.97219,                0.86293,                0.79589,                 0.8562,                0.60086,                0.82412,                0.50952,                0.93258,               0.006832,               0.006832,               0.006832
                     34,                0.95578,                0.63804,                0.96949,                0.85869,                 0.7871,                0.86258,                0.60113,                0.81416,                0.50506,                 0.9308,               0.006733,               0.006733,               0.006733
                     35,                0.95539,                0.63218,                0.96792,                0.85306,                0.79093,                0.86486,                0.61185,                0.80624,                0.49801,                0.92881,               0.006634,               0.006634,               0.006634
                     36,                0.94594,                0.62919,                0.96396,                0.88584,                0.78602,                0.87629,                 0.6155,                0.80525,                0.49595,                0.92804,               0.006535,               0.006535,               0.006535
